NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H6,036,2022,070954,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,070955,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,070956,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,070959,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,071010,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,071029,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,071030,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,071040,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,071080,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,071090,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,071220,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,071231,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,071232,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,071233,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,071234,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,071239,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,071290,604,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,036,2022,071410,604,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,071420,604,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,071430,604,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,071440,604,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,071450,604,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,071490,604,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,036,2022,080211,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,080212,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,080610,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,080620,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,081110,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,036,2022,081310,604,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
