NomenCode,Reporter_ISO_N,Year,ProductCode,Partner,ExcludedFrom,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,TotalNoOfLines,Nbr_Pref_Lines,Nbr_MFN_Lines,Nbr_NA_Lines
H6,124,2022,732310,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,732391,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,732392,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,732393,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,732394,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,732399,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,732410,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,732421,352,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,732429,352,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,392520,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,392530,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,392590,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,392610,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,392620,804,   ,      0.00,      0.00,      0.00,      0.00,7,6,1,0
H6,124,2022,392640,804,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,392690,804,   ,      0.00,      0.00,      0.00,      0.00,8,3,5,0
H6,124,2022,400700,804,   ,      0.00,      0.00,      0.00,      0.00,3,1,2,0
H6,124,2022,401110,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,401120,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,401170,804,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,401180,804,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,401190,804,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,401220,804,   ,      0.00,      0.00,      0.00,      0.00,3,2,1,0
H6,124,2022,401290,804,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,401310,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,401390,804,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,401410,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,401490,804,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,401512,804,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,401519,804,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,401590,804,   ,      0.00,      0.00,      0.00,      0.00,3,2,1,0
H6,124,2022,401610,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,401691,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,401692,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,401693,804,   ,      0.00,      0.00,      0.00,      0.00,4,1,3,0
H6,124,2022,401694,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,401695,804,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,401699,804,   ,      0.00,      0.00,      0.00,      0.00,3,2,1,0
H6,124,2022,401700,804,   ,      0.00,      0.00,      0.00,      0.00,2,1,1,0
H6,124,2022,420100,804,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,420211,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,420212,804,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
H6,124,2022,420219,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,420221,804,   ,      0.00,      0.00,      0.00,      0.00,1,1,0,0
H6,124,2022,420222,804,   ,      0.00,      0.00,      0.00,      0.00,2,2,0,0
